#gene1	gene2	strand1(gene/fusion)	strand2(gene/fusion)	breakpoint1	breakpoint2	site1	site2	type	split_reads1	split_reads2	discordant_mates	coverage1	coverage2	confidence	reading_frame	tags	retained_protein_domains	closest_genomic_breakpoint1	closest_genomic_breakpoint2	gene_id1	gene_id2	transcript_id1	transcript_id2	direction1	direction2	filters	fusion_transcript	peptide_sequence	read_identifiers
RPL36P16(13950),RN7SL718P(6811)	CEACAM5	./.	+/.	chr19:41184116	chr19:41713238	intergenic	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000105388.17	.	.	downstream	upstream	mismatches	.	.	.
LRFN1	MED29	-/.	+/.	chr19:39315655	chr19:39391854	intron	intron	deletion/read-through/3'-3'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000128011.5	ENSG00000063322.15	.	.	downstream	upstream	mismatches	.	.	.
PRKCSH	ELOF1	+/.	-/.	chr19:11438541	chr19:11557383	intron	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000130175.10	ENSG00000130165.11	.	.	downstream	upstream	mismatches(1)	.	.	.
CNN1	ELOF1	+/.	-/.	chr19:11543565	chr19:11557383	intron	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000130176.8	ENSG00000130165.11	.	.	downstream	upstream	read_through(1)	.	.	.
ZNF93	ENSG00000291130(4076),ENSG00000269043(3490)	+/.	./.	chr19:19921063	chr19:20429062	intron	intergenic	deletion	0	0	0	7	2	low	.	.	.	.	.	ENSG00000184635.17	.	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF584	ZBTB45	+/.	-/.	chr19:58410989	chr19:58535122	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000171574.19	ENSG00000119574.13	.	.	downstream	upstream	mismatches	.	.	.
TMEM38A(727),ENSG00000269419(21567)	UNC13A	./.	-/.	chr19:16690750	chr19:17627012	intergenic	intron	deletion	0	0	0	2	2	low	.	.	.	.	.	.	ENSG00000130477.16	.	.	downstream	upstream	mismatches	.	.	.
EXOC3L2	PPP1R13L	-/.	-/.	chr19:45230262	chr19:45383070	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000283632.4	ENSG00000104881.16	.	.	downstream	upstream	mismatches	.	.	.
MARK4	PPP1R13L	+/.	-/.	chr19:45230262	chr19:45383070	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000007047.16	ENSG00000104881.16	.	.	downstream	upstream	mismatches	.	.	.
ASF1B	ASF1B	-/-	-/+	chr19:14120077	chr19:14120087	3'UTR	3'UTR	inversion/5'-5'	0	0	0	4	2	low	.	.	.	.	.	ENSG00000105011.9	ENSG00000105011.9	.	.	upstream	upstream	hairpin(1)	.	.	.
ENSG00000285589	HOOK2	-/.	-/.	chr19:12673894	chr19:12850006	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000285589.1	ENSG00000095066.12	.	.	downstream	upstream	mismatches	.	.	.
WDR83	MAST1	+/.	+/.	chr19:12673894	chr19:12850006	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000123154.12	ENSG00000105613.10	.	.	downstream	upstream	mismatches	.	.	.
WDR83	HOOK2	+/.	-/.	chr19:12673894	chr19:12850006	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000123154.12	ENSG00000095066.12	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000269802	C3	-/.	-/.	chr19:6353612	chr19:6620567	intron	intergenic	deletion/read-through	0	0	0	3	0	low	.	.	.	.	.	ENSG00000269802.1	ENSG00000125730.18	.	.	downstream	upstream	mismatches(1)	.	.	.
UPK1A-AS1	DMKN(1869),SBSN(7840)	-/-	./-	chr19:35668626	chr19:35515527	exon	intergenic	deletion/read-through	0	0	0	0	1	low	.	.	.	.	.	ENSG00000226510.2	.	.	.	upstream	downstream	mismatches(1)	.	.	.
DPP9(27352),MIR7-3HG(17006)	ARRDC5	./.	-/.	chr19:4752025	chr19:4894331	intergenic	intron	deletion/read-through	0	0	0	4	1	low	.	.	.	.	.	.	ENSG00000205784.4	.	.	downstream	upstream	mismatches	.	.	.
RPS27P29	RPS27P29	+/.	+/.	chr19:23597441	chr19:23597482	exon	exon	inversion/3'-3'	0	0	0	325	316	low	.	.	.	.	.	ENSG00000240231.1	ENSG00000240231.1	.	.	upstream	upstream	hairpin(1)	.	.	.
ANKRD27	CEP89	-/.	-/.	chr19:32646194	chr19:32928166	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000105186.16	ENSG00000121289.18	.	.	downstream	upstream	mismatches	.	.	.
CYP2A13(3016),CYP2F1(15221)	PCAT19	./.	-/.	chr19:41099211	chr19:41487044	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000267107.9	.	.	downstream	upstream	mismatches	.	.	.
ZIM2	MIMT1(4778),ENSG00000269786(68684)	-/.	./.	chr19:56787879	chr19:56853334	intron	intergenic	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	ENSG00000269699.7	.	.	.	downstream	upstream	mismatches	.	.	.
ZIM2-AS1	MIMT1(4778),ENSG00000269786(68684)	+/.	./.	chr19:56787879	chr19:56853334	intron	intergenic	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	ENSG00000269793.7	.	.	.	downstream	upstream	mismatches	.	.	.
WDR62	LINC00665(1970),ZFP14(713)	+/.	./.	chr19:36075659	chr19:36333740	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000075702.19	.	.	.	downstream	upstream	mismatches	.	.	.
CPAMD8(16271),HAUS8(6643)	UNC13A	./.	-/.	chr19:17043086	chr19:17679303	intergenic	intron	deletion	0	0	1	1	2	low	.	.	.	.	.	.	ENSG00000130477.16	.	.	downstream	upstream	min_support	.	.	.
TMEM161A	BORCS8-MEF2B	-/.	-/.	chr19:19131668	chr19:19154307	intron	intron	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000064545.15	ENSG00000064489.23	.	.	downstream	upstream	mismatches(1)	.	.	.
TMEM161A	MEF2B	-/.	-/.	chr19:19131668	chr19:19154307	intron	intron	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000064545.15	ENSG00000213999.17	.	.	downstream	upstream	mismatches(1)	.	.	.
ATCAY	ANKRD24	+/.	+/.	chr19:3892802	chr19:4214765	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000167654.18	ENSG00000089847.13	.	.	downstream	upstream	mismatches	.	.	.
ELAVL1	ENSG00000267939	-/-	+/-	chr19:7973118	chr19:8009881	exon	intron	deletion/read-through/3'-3'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000066044.15	ENSG00000267939.1	.	.	downstream	upstream	read_through(1)	.	.	.
FAAP24	RHPN2	+/.	-/.	chr19:32972934	chr19:33010573	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000131944.11	ENSG00000131941.8	.	.	downstream	upstream	read_through	.	.	.
TLE2	CELF5	-/.	+/.	chr19:3023781	chr19:3277231	intron	intron	deletion/read-through/3'-3'	0	0	0	2	0	low	.	.	.	.	.	ENSG00000065717.16	ENSG00000161082.13	.	.	downstream	upstream	mismatches(1)	.	.	.
REXO1	TLE2	-/.	-/.	chr19:1831632	chr19:3023726	intron	intron	deletion	0	0	0	3	2	low	.	.	.	.	.	ENSG00000079313.15	ENSG00000065717.16	.	.	downstream	upstream	mismatches	.	.	.
VAV1	ADGRE4P	+/.	-/.	chr19:6943262	chr19:6979107	intergenic	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000141968.8	ENSG00000268758.8	.	.	downstream	upstream	read_through(1)	.	.	.
VAV1	ENSG00000290427	+/.	-/.	chr19:6943262	chr19:6979107	intergenic	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000141968.8	ENSG00000290427.1	.	.	downstream	upstream	read_through(1)	.	.	.
ZNF780B	ZNF780B	-/-	-/+	chr19:40034159	chr19:40034220	3'UTR	3'UTR	inversion/5'-5'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000128000.17	ENSG00000128000.17	.	.	upstream	upstream	hairpin	.	.	.
SULT2B1	TRPM4(28469),SLC6A21P(15167)	+/.	./.	chr19:48580005	chr19:49240305	intron	intergenic	deletion	0	0	0	1	2	low	.	.	.	.	.	ENSG00000088002.12	.	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000287603	TRPM4(28469),SLC6A21P(15167)	-/.	./.	chr19:48580005	chr19:49240305	intron	intergenic	deletion	0	0	0	1	2	low	.	.	.	.	.	ENSG00000287603.1	.	.	.	downstream	upstream	mismatches(1)	.	.	.
RYR1	FBXO27	+/.	-/.	chr19:38541703	chr19:39000514	intron	intron	deletion/5'-5'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000196218.14	ENSG00000161243.10	.	.	downstream	upstream	duplicates	.	.	.
RYR1	FBXO27	+/.	-/.	chr19:38558766	chr19:39000514	intron	intron	deletion/5'-5'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000196218.14	ENSG00000161243.10	.	.	downstream	upstream	duplicates	.	.	.
RYR1	FBXO27	+/.	-/.	chr19:38546939	chr19:39000514	intron	intron	deletion/5'-5'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000196218.14	ENSG00000161243.10	.	.	downstream	upstream	mismatches	.	.	.
RYR1	ENSG00000287271	+/.	+/.	chr19:38546939	chr19:39000514	intron	intron	deletion	0	0	0	1	3	low	.	.	.	.	.	ENSG00000196218.14	ENSG00000287271.1	.	.	downstream	upstream	mismatches	.	.	.
TUBB4A	DUS3L(363),NRTN(13479)	-/-	./-	chr19:6495248	chr19:5791588	CDS	intergenic	deletion	0	0	0	36	1	low	.	.	.	.	.	ENSG00000104833.12	.	.	.	upstream	downstream	mismatches(1)	.	.	.
ENSG00000291130(4117),ENSG00000269043(3449)	ENSG00000269043	./.	+/.	chr19:20429103	chr19:20514502	intergenic	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	.	ENSG00000269043.2	.	.	downstream	upstream	read_through	.	.	.
ZNF426-DT(11816),ZNF121(8779)	ZNF562	./.	-/.	chr19:9551550	chr19:9657330	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000171466.10	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF426-DT(11816),ZNF121(8779)	ZNF561-AS1	./.	+/.	chr19:9551550	chr19:9657330	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000267106.9	.	.	downstream	upstream	mismatches(1)	.	.	.
ARHGAP35	ARHGAP35(6207),NPAS1(8553)	+/.	./.	chr19:46883864	chr19:47011284	intron	intergenic	deletion/read-through	0	0	0	1	4	low	.	.	.	.	.	ENSG00000160007.20	.	.	.	downstream	upstream	read_through	.	.	.
KLK14(3908),CTU1(9453)	SIGLEC9	./.	+/.	chr19:51088153	chr19:51131813	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000129450.9	.	.	downstream	upstream	mismatches	.	.	.
SIGLEC5	HAS1(8316),FPR1(12865)	-/.	./.	chr19:51633600	chr19:51732307	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000105501.13	.	.	.	downstream	upstream	mismatches	.	.	.
GADD45GIP1(6399),DAND5(1537)	CACNA1A	./.	-/.	chr19:12963622	chr19:13232924	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000141837.22	.	.	downstream	upstream	mismatches(1)	.	.	.
OPA3	ENSG00000268401	-/.	+/.	chr19:45530212	chr19:46028682	intron	exon	deletion/3'-3'	0	1	0	1	1	low	.	.	.	.	.	ENSG00000125741.6	ENSG00000268401.2	.	.	downstream	upstream	min_support	.	.	.
GIPR(969),SNRPD2(2769)	PRKD2	./.	-/.	chr19:45684691	chr19:46695404	intergenic	intron	deletion	0	0	0	1	2	low	.	.	.	.	.	.	ENSG00000105287.13	.	.	downstream	upstream	mismatches	.	.	.
RAB11B-AS1	ZNF699(11386),ZNF559(2548)	-/.	./.	chr19:8386401	chr19:9321224	intron	intergenic	deletion	0	0	0	1	0	low	.	.	.	.	.	ENSG00000269386.6	.	.	.	downstream	upstream	mismatches(1)	.	.	.
PTPRS	CATSPERD	-/.	+/.	chr19:5303740	chr19:5749284	intron	intron	deletion/3'-3'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000105426.19	ENSG00000174898.16	.	.	downstream	upstream	mismatches(1)	.	.	.
FCER2	ENSG00000287603	-/.	-/.	chr19:7693499	chr19:48578101	intron	intron	deletion	0	0	0	0	0	low	.	.	.	.	.	ENSG00000104921.15	ENSG00000287603.1	.	.	downstream	upstream	mismatches(1)	.	.	.
EEF1A1P7	EEF1A1P7(77),LINC01531(15382)	+/+	./+	chr19:35383886	chr19:35384129	exon	intergenic	deletion/read-through	0	0	0	724	524	low	.	.	.	.	.	ENSG00000268222.1	.	.	.	downstream	upstream	read_through	.	.	.
SLC25A42	ZNF101(1697),ENSG00000271283(13997)	+/.	./.	chr19:19069971	chr19:19685206	intron	intergenic	deletion	0	0	0	1	1	low	.	.	.	.	.	ENSG00000181035.14	.	.	.	downstream	upstream	mismatches	.	.	.
NLRP8	ZNF444(10202),GALP(4913)	+/.	./.	chr19:55971277	chr19:56171095	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000179709.8	.	.	.	downstream	upstream	mismatches	.	.	.
TCF3(40919),Metazoa_SRP(30581)	LINGO3	./.	-/.	chr19:1693534	chr19:2300212	intergenic	intron	deletion	0	0	0	2	1	low	.	.	.	.	.	.	ENSG00000220008.4	.	.	downstream	upstream	mismatches	.	.	.
VSTM2B	ENSG00000286867(27155),CCNE1(3620)	+/.	./.	chr19:29557529	chr19:29808371	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000187135.8	.	.	.	downstream	upstream	mismatches	.	.	.
LINC01233(4612),RNU6-1179P(17155)	ZNF99	./.	-/.	chr19:22538106	chr19:22774662	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000213973.10	.	.	downstream	upstream	mismatches(1)	.	.	.
RPL39P36	ZNF813	+/+	+/+	chr19:53413284	chr19:53495996	exon	3'UTR	deletion/read-through	0	0	0	34	49	low	.	.	.	.	.	ENSG00000239912.1	ENSG00000198346.11	.	.	downstream	upstream	mismatches	.	.	.
ZNF208	RPL34P34(14374),ZNF98(7693)	-/.	./.	chr19:21955067	chr19:22383326	intron	intergenic	deletion	0	0	0	1	2	low	.	.	.	.	.	ENSG00000160321.16	.	.	.	downstream	upstream	mismatches	.	.	.
ICAM3	ICAM3	-/-	-/-	chr19:10333923	chr19:10333960	CDS	CDS	duplication/ITD	0	0	0	11	11	low	.	.	.	.	.	ENSG00000076662.11	ENSG00000076662.11	.	.	upstream	downstream	low_entropy(1)	.	.	.
ICAM3	ENSG00000274425	-/-	+/-	chr19:10333923	chr19:10333960	CDS	exon	duplication/5'-5'	0	0	0	11	11	low	.	.	.	.	.	ENSG00000076662.11	ENSG00000274425.1	.	.	upstream	downstream	low_entropy(1)	.	.	.
ENSG00000274425	ICAM3	+/.	-/.	chr19:10333923	chr19:10333960	exon	CDS	duplication/3'-3'	0	0	0	11	11	low	.	.	.	.	.	ENSG00000274425.1	ENSG00000076662.11	.	.	upstream	downstream	low_entropy(1)	.	.	.
PKN1	DNAJB1	+/.	-/.	chr19:14442375	chr19:14551198	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000123143.13	ENSG00000132002.9	.	.	downstream	upstream	mismatches	.	.	.
C19orf25(1002),PCSK4(1207)	GNG7	./.	-/.	chr19:1480221	chr19:2560805	intergenic	intron	deletion	0	0	0	2	1	low	.	.	.	.	.	.	ENSG00000176533.13	.	.	downstream	upstream	duplicates	.	.	.
ENSG00000285589	MTATP6P27	-/-	+/-	chr19:12671488	chr19:12506758	3'UTR	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000285589.1	ENSG00000234003.1	.	.	upstream	downstream	mismatches	.	.	.
NLRP4	NLRP13	+/.	-/.	chr19:55860219	chr19:55898539	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000160505.16	ENSG00000173572.12	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000269693	ENSG00000285589	-/.	-/.	chr19:12567464	chr19:12679728	intron	intron	deletion/read-through	0	0	0	3	0	low	.	.	.	.	.	ENSG00000269693.1	ENSG00000285589.1	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000269755	ENSG00000269693	-/.	-/.	chr19:12475043	chr19:12567400	intron	intron	deletion/read-through	0	0	0	3	3	low	.	.	.	.	.	ENSG00000269755.1	ENSG00000269693.1	.	.	downstream	upstream	mismatches	.	.	.
ZNF765	ZNF813(1120),ENSG00000213777(6017)	+/.	./.	chr19:53414651	chr19:53497375	intron	intergenic	deletion/read-through	0	0	1	2	1	low	.	.	.	.	.	ENSG00000196417.13	.	.	.	downstream	upstream	min_support	.	.	.
VN1R6P(14677),ZNF845(3029)	ZNF813	./+	+/+	chr19:53330720	chr19:53495951	intergenic	3'UTR	deletion/read-through	0	0	0	80	25	low	.	.	.	.	.	.	ENSG00000198346.11	.	.	downstream	upstream	mismatches	.	.	.
VN1R6P(14677),ZNF845(3029)	ENSG00000241069	./+	+/+	chr19:53330720	chr19:53386302	intergenic	exon	deletion/read-through	0	0	0	80	95	low	.	.	.	.	.	.	ENSG00000241069.1	.	.	downstream	upstream	mismatches	.	.	.
ZNF888	ZNF320(1158),ZNF888(5564)	-/-	./-	chr19:52904721	chr19:52898851	3'UTR	intergenic	deletion/read-through	0	0	0	4	1	low	.	.	.	.	.	ENSG00000213793.6	.	.	.	upstream	downstream	read_through	.	.	.
ZNF66(19749),ENSG00000269373(8771)	ZNF66(19823),ENSG00000269373(8697)	./.	./.	chr19:20829744	chr19:20829818	intergenic	intergenic	duplication/ITD	0	0	0	1	2	low	.	.	.	.	.	.	.	.	.	upstream	downstream	hairpin(1)	.	.	.
CYP2B6	CYP2B6	+/.	+/.	chr19:40999276	chr19:40999350	intron	intron	duplication/ITD	0	0	0	4	2	low	.	.	.	.	.	ENSG00000197408.10	ENSG00000197408.10	.	.	upstream	downstream	hairpin(1)	.	.	.
AKT2	C19orf47	-/.	-/.	chr19:40258109	chr19:40332241	intron	intron	deletion/read-through	0	0	1	1	0	low	.	.	.	.	.	ENSG00000105221.18	ENSG00000160392.14	.	.	downstream	upstream	min_support	.	.	.
BSPH1	TMEM143	-/.	-/.	chr19:47974416	chr19:48339981	intron	intron	deletion/read-through	0	0	0	3	1	low	.	.	.	.	.	ENSG00000188334.3	ENSG00000161558.11	.	.	downstream	upstream	mismatches	.	.	.
CATSPERG	RASGRP4(803),RYR1(6583)	+/.	./.	chr19:38341802	chr19:38427108	intron	intergenic	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000099338.23	.	.	.	downstream	upstream	duplicates	.	.	.
GRAMD1A	GRAMD1A	+/+	+/+	chr19:35019502	chr19:35019461	CDS	CDS	duplication/ITD	0	0	0	2	2	low	.	.	.	.	.	ENSG00000089351.15	ENSG00000089351.15	.	.	downstream	upstream	hairpin(1)	.	.	.
SULT2A1(15686),BSPH1(66045)	TMEM143	./.	-/.	chr19:47902001	chr19:48346694	intergenic	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000161558.11	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000283907	WDR62	+/.	+/.	chr19:35581434	chr19:35919342	intron	intergenic	deletion/read-through	0	0	0	3	1	low	.	.	.	.	.	ENSG00000283907.2	ENSG00000075702.19	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000267422	SIPA1L3	+/.	+/.	chr19:37789554	chr19:38117407	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000267422.1	ENSG00000105738.11	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000241069	ZNF765	+/+	+/+	chr19:53386386	chr19:53413350	exon	intron	deletion/read-through	0	0	0	105	37	low	.	.	.	.	.	ENSG00000241069.1	ENSG00000196417.13	.	.	downstream	upstream	read_through	.	.	.
ZNF730(50654),ENSG00000269471(6135)	ENSG00000284428	./.	-/.	chr19:23197875	chr19:23266533	intergenic	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	.	ENSG00000284428.1	.	.	downstream	upstream	mismatches	.	.	.
ZNF730(50654),ENSG00000269471(6135)	ENSG00000269107	./.	-/.	chr19:23197875	chr19:23266533	intergenic	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	.	ENSG00000269107.1	.	.	downstream	upstream	mismatches	.	.	.
RPL7P51(23971),SPACA6-AS1(11782)	FPR1	./.	-/.	chr19:51673581	chr19:51757390	intergenic	intron	deletion/read-through	0	0	1	2	2	low	.	.	.	.	.	.	ENSG00000171051.10	.	.	downstream	upstream	min_support	.	.	.
KRI1	AP1M2	-/.	-/.	chr19:10564229	chr19:10579186	intron	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000129347.21	ENSG00000129354.12	.	.	downstream	upstream	read_through(1)	.	.	.
ZNF724	ENSG00000284428(6818),VN1R90P(7551)	-/.	./.	chr19:23238221	chr19:23281069	intron	intergenic	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	ENSG00000196081.10	.	.	.	downstream	upstream	read_through	.	.	.
ZNF83	ZNF28	-/.	-/.	chr19:52683058	chr19:52832808	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000167766.21	ENSG00000198538.11	.	.	downstream	upstream	mismatches	.	.	.
MYADM-AS1	MBOAT7	-/.	-/.	chr19:53856988	chr19:54177545	intron	intron	deletion/read-through	0	0	0	3	1	low	.	.	.	.	.	ENSG00000228323.2	ENSG00000125505.17	.	.	downstream	upstream	mismatches	.	.	.
PLEKHA4	DHDH	-/.	+/.	chr19:48850617	chr19:48935395	intron	intron	deletion/read-through/3'-3'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000105559.13	ENSG00000104808.8	.	.	downstream	upstream	mismatches	.	.	.
BORCS8-MEF2B	GATAD2A	-/.	+/.	chr19:19183703	chr19:19387569	intron	intron	deletion/read-through/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000064489.23	ENSG00000167491.18	.	.	downstream	upstream	mismatches	.	.	.
ZNF28	ZNF888	-/.	-/.	chr19:52847367	chr19:52919845	intron	intron	deletion/read-through	0	0	0	1	4	low	.	.	.	.	.	ENSG00000198538.11	ENSG00000213793.6	.	.	downstream	upstream	duplicates	.	.	.
ENSG00000269694	SUGP2	+/.	-/.	chr19:18882794	chr19:19027756	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000269694.1	ENSG00000064607.17	.	.	downstream	upstream	mismatches	.	.	.
CERS1	SUGP2	-/.	-/.	chr19:18882794	chr19:19027756	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000223802.9	ENSG00000064607.17	.	.	downstream	upstream	mismatches	.	.	.
GAPDHP38	HNRNPMP2(8386),ENSG00000269014(8326)	+/+	./+	chr19:46559105	chr19:46818569	exon	intergenic	deletion/read-through	0	0	0	522	0	low	.	.	.	.	.	ENSG00000249210.1	.	.	.	downstream	upstream	mismatches(1)	.	.	.
C19orf53(10686),ZSWIM4(5984)	ZSWIM4	./.	+/.	chr19:13789459	chr19:13804345	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000132003.10	.	.	downstream	upstream	read_through	.	.	.
ZNF114	LMTK3(22210),ENSG00000287603(11492)	+/.	./.	chr19:48276222	chr19:48536145	intron	intergenic	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000178150.10	.	.	.	downstream	upstream	mismatches	.	.	.
KCNJ14	NUCB1	+/.	+/.	chr19:48460338	chr19:48902206	intron	intron	deletion	0	0	0	2	2	low	.	.	.	.	.	ENSG00000182324.7	ENSG00000104805.17	.	.	downstream	upstream	mismatches(1)	.	.	.
SLC25A42	TMEM161A	+/.	-/.	chr19:19070288	chr19:19128524	intron	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000181035.14	ENSG00000064545.15	.	.	downstream	upstream	mismatches(1)	.	.	.
C19orf81	SHANK1	+/.	-/.	chr19:50653269	chr19:50671416	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000235034.7	ENSG00000161681.17	.	.	downstream	upstream	read_through(1)	.	.	.
ZNF708(28583),ZNF738(922)	ZNF429	./.	+/.	chr19:21358008	chr19:21500962	intergenic	intron	deletion/read-through	0	0	0	4	1	low	.	.	.	.	.	.	ENSG00000197013.11	.	.	downstream	upstream	mismatches	.	.	.
LMTK3(13451),ENSG00000287603(20251)	SULT2B1	./.	+/.	chr19:48527386	chr19:48577478	intergenic	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	.	ENSG00000088002.12	.	.	downstream	upstream	mismatches	.	.	.
SEPTIN7P8	HMGN1P32(3951),SEPTIN7P8(2)	-/-	./-	chr19:53772531	chr19:53772504	exon	intergenic	deletion/read-through	0	0	0	7	10	low	.	.	.	.	.	ENSG00000229000.1	.	.	.	upstream	downstream	read_through	.	.	.
RPL7AP69(16992),ENSG00000274219(27989)	DUXA	./.	-/.	chr19:57083131	chr19:57154796	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000258873.3	.	.	downstream	upstream	mismatches(1)	.	.	.
JUND	JUND	-/-	-/-	chr19:18280254	chr19:18280272	3'UTR	3'UTR	duplication/ITD	0	0	0	6	2	low	.	.	.	.	.	ENSG00000130522.6	ENSG00000130522.6	.	.	upstream	downstream	hairpin(1)	.	.	.
ENSG00000287526	GARRE1	-/.	+/.	chr19:34015928	chr19:34285506	intron	intron	deletion/read-through/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000287526.1	ENSG00000166398.14	.	.	downstream	upstream	mismatches	.	.	.
ZNF649(1243),ENSG00000283285(8392)	ZNF432	./.	-/.	chr19:51906283	chr19:52052400	intergenic	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	.	ENSG00000256087.7	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000283285(7786),ZNF613(1658)	ZNF432	./.	-/.	chr19:51925489	chr19:52052400	intergenic	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	.	ENSG00000256087.7	.	.	downstream	upstream	mismatches	.	.	.
ZNF541	EHD2	-/.	+/.	chr19:47562021	chr19:47578537	intron	intergenic	deletion/read-through/3'-3'	0	0	0	2	2	low	.	.	.	.	.	ENSG00000118156.13	ENSG00000024422.12	.	.	downstream	upstream	read_through(1)	.	.	.
ENSG00000269693	ENSG00000286098	-/-	+/-	chr19:12579324	chr19:12058727	3'UTR	intron	deletion/5'-5'	0	0	0	3	1	low	.	.	.	.	.	ENSG00000269693.1	ENSG00000286098.1	.	.	upstream	downstream	mismatches(1)	.	.	.
